team,season,captain_name,source_page,alternate_data_available
New Jersey Devils,2017-18,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2018-19,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2019-20,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2021-22,Nico Hischier,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2022-23,Nico Hischier,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2023-24,Nico Hischier,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2024-25,Nico Hischier,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New York Islanders,2012-13,John Tavares,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2013-14,John Tavares,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2014-15,John Tavares,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2015-16,John Tavares,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2016-17,John Tavares,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2017-18,John Tavares,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2018-19,Anders Lee,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2019-20,Anders Lee,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2020-21,Anders Lee,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2021-22,Anders Lee,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2022-23,Anders Lee,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2023-24,Anders Lee,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Islanders,2024-25,Anders Lee,https://en.wikipedia.org/wiki/List_of_New_York_Islanders_captains,FALSE
New York Rangers,2012-13,Ryan McDonagh,https://en.wikipedia.org/wiki/List_of_New_York_Rangers_captains,FALSE
New York Rangers,2013-14,Ryan McDonagh,https://en.wikipedia.org/wiki/List_of_New_York_Rangers_captains,FALSE
New York Rangers,2014-15,Ryan McDonagh,https://en.wikipedia.org/wiki/List_of_New_York_Rangers_captains,FALSE
New York Rangers,2015-16,Ryan McDonagh,https://en.wikipedia.org/wiki/List_of_New_York_Rangers_captains,FALSE
New York Rangers,2016-17,Ryan McDonagh,https://en.wikipedia.org/wiki/List_of_New_York_Rangers_captains,FALSE
New York Rangers,2017-18,Ryan McDonagh,https://en.wikipedia.org/wiki/List_of_New_York_Rangers_captains,FALSE
New York Rangers,2022-23,Jacob Trouba,https://en.wikipedia.org/wiki/List_of_New_York_Rangers_captains,FALSE
