player_name,position,signing_team,previous_team,contract_value,aav,contract_years,signing_year,signing_date,contract_type
Jaycob Megna,"RD, LD",Anaheim Ducks,NA,2775000,925000,3,2014,2014-04-04,other
Jeff Petry,RD,Edmonton Oilers,Edmonton Oilers,3075000,3075000,1,2014,2014-07-08,UFA
Joe Hicketts,LD,Detroit Red Wings,NA,1975000,600000,3,2014,2014-10-05,RFA
Johnny Gaudreau,"LW, RW",Calgary Flames,Calgary Flames,5550000,1850000,3,2014,2014-04-11,other
Jonas Brodin,LD,Minnesota Wild,Minnesota Wild,25000000,4166667,6,2014,2014-10-13,UFA
Joonas Korpisalo,G,Columbus Blue Jackets,NA,2775000,925000,3,2014,2014-03-21,RFA
Jordan Oesterle,"LD, RD",Edmonton Oilers,NA,1850000,925000,2,2014,2014-03-31,other
Josh Manson,RD,Anaheim Ducks,NA,1850000,925000,2,2014,2014-03-25,other
Justin Bailey,RW,Buffalo Sabres,NA,2682500,661666,3,2014,2014-11-02,RFA
Justin Dowling,C,Dallas Stars,NA,1220000,610000,2,2014,2014-03-26,other
Justin Faulk,RD,Carolina Hurricanes,Carolina Hurricanes,29000000,4833333,6,2014,2014-03-24,UFA
Kasperi Kapanen,"RW, LW",Pittsburgh Penguins,NA,2775000,925000,3,2014,2014-07-12,RFA
Kevin Fiala,"RW, LW",Nashville Predators,NA,2775000,1425000,3,2014,2014-07-15,RFA
Kevin Hayes,"C, RW",New York Rangers,NA,7500000,3750000,2,2014,2014-08-20,other
Lars Eller,"C, LW, RW",Montreal Canadiens,Montréal Canadiens,14000000,3500000,4,2014,2014-07-24,UFA
Leon Draisaitl,"C, RW",Edmonton Oilers,NA,10200000,3400000,3,2014,2014-08-12,RFA
Liam O'Brien,"RW, LW, C",Washington Capitals,NA,1925000,641667,3,2014,2014-10-05,RFA
Linus Ullmark,G,Buffalo Sabres,NA,2775000,925000,3,2014,2014-05-31,other
Luke Glendening,C,Detroit Red Wings,Detroit Red Wings,1885000,628333,3,2014,2014-04-05,UFA
MacKenzie Weegar,"LD, RD",Florida Panthers,NA,2400000,800000,3,2014,2014-05-31,RFA
Marc-Andre Fleury,G,Pittsburgh Penguins,Pittsburgh Penguins,23000000,5750000,4,2014,2014-11-05,UFA
Marcus Foligno,"LW, RW",Buffalo Sabres,Buffalo Sabres,3750000,1875000,2,2014,2014-07-01,other
Mats Zuccarello,"RW, LW",New York Rangers,New York Rangers,3500000,3500000,1,2014,2014-07-22,UFA
Mattias Ekholm,"LD, RD",Nashville Predators,Nashville Predators,2075000,1037500,2,2014,2014-07-09,other
Max McCormick,LW,Ottawa Senators,NA,1600000,800000,2,2014,2014-05-31,other
Nate Schmidt,"RD, LD",Washington Capitals,Washington Capitals,625000,625000,1,2014,2014-07-13,other
Nathan Walker,LW,Washington Capitals,NA,2050000,683333,3,2014,2014-07-26,RFA
Nic Dowd,C,Los Angeles Kings,NA,900000,900000,1,2014,2014-04-01,other
Nicholas Paul,"C, LW",Ottawa Senators,NA,2682500,670000,3,2014,2014-12-21,RFA
Nick Bjugstad,C,Florida Panthers,Florida Panthers,24600000,4100000,6,2014,2014-12-31,UFA
Nick Foligno,"LW, C",Columbus Blue Jackets,Columbus Blue Jackets,33000000,5500000,6,2014,2014-12-31,UFA
