contract_id,walk_year_position_group,walk_year_toi_per_game,walk_year_toi_total,walk_year_games,walk_year_goals,walk_year_assists,walk_year_points,walk_year_points_per_game,post_signing_seasons_observed,post_signing_avg_toi_per_game,post_signing_avg_points_per_game,contract_complete,post_signing_toi_change,post_signing_points_change,trajectory_prior_seasons_found,trajectory_toi_slope,trajectory_points_slope,trajectory,tier_toi_percentile,tier
1415,forward,19.843495,1627.16659,82,16,47,63,0.7682926829268293,4,20.576016666666668,0.9165840437361008,FALSE,0.732521666666667,0.14829136080927152,2,-0.39124999999985205,-0.16249999999993817,declining,0.9639794168096055,top
1416,forward,19.555625000000006,1564.4500000000005,80,32,47,79,0.9875,2,20.076988333333333,0.9502100840336134,FALSE,0.5213633333333263,-0.037289915966386644,2,-0.795891666666569,0.11267605633801525,declining,0.9383116883116883,top
1417,NA,NA,NA,NA,NA,NA,NA,NA,2,12.530555,0.16666666666666666,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1418,forward,8.320833333333333,66.56666666666666,8,1,0,1,0.125,1,13.096968333333333,0.41818181818181815,TRUE,4.776135,0.29318181818181815,3,-0.8640400000001514,0.03333333333337205,declining,0.08448275862068966,fringe
1419,forward,13.096968333333333,720.3332583333333,55,7,16,23,0.41818181818181815,1,15.27803,0.5151515151515151,FALSE,2.1810616666666665,0.09696969696969698,3,-1.6812500000005577,0.06249999999998753,declining,0.46551724137931033,middle
1420,forward,15.27803,1008.34998,66,14,20,34,0.5151515151515151,1,12.907029999999999,0.515625,TRUE,-2.3710000000000004,4.7348484848486194e-4,2,4.776135000000705,0.2931818181818614,rising,0.6656534954407295,middle
1421,forward,12.907029999999999,826.0499199999999,64,11,22,33,0.515625,2,9.859635833333334,0.23469387755102042,FALSE,-3.047394166666665,-0.28093112244897955,2,1.0905308333332069,0.048484848484842906,rising,0.4431818181818182,middle
1422,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1423,defense,19.558535,1603.7998699999998,82,9,26,35,0.4268292682926829,1,20.154105,0.36231884057971014,FALSE,0.5955700000000022,-0.06451042771297277,1,NA,NA,insufficient_history,0.6635802469135802,middle
1424,NA,NA,NA,NA,NA,NA,NA,NA,2,21.686336666666666,0.3357253086419753,TRUE,NA,NA,3,2.285385833333757,0.07911860396333217,rising,NA,NA
1425,defense,22.97,1837.6,80,7,24,31,0.3875,3,22.871654999999997,0.4053497942386831,FALSE,-0.0983450000000019,0.017849794238683103,2,0.595570000000093,-0.06451042771298217,rising,0.8924418604651163,top
1426,NA,NA,NA,NA,NA,NA,NA,NA,3,14.227380555555555,0.39235389235389234,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1427,forward,15.252563333333336,1189.6999400000002,78,15,22,37,0.47435897435897434,6,17.98274138888889,0.7434715460802417,FALSE,2.7301780555555535,0.26911257172126735,1,NA,NA,insufficient_history,0.6535162950257289,middle
1428,NA,NA,NA,NA,NA,NA,NA,NA,1,17.09401666666667,0.358974358974359,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1429,defense,19.327595,1178.983295,61,4,26,30,0.4918032786885246,1,19.287253333333336,0.7794117647058824,TRUE,-0.040341666666662945,0.2876084860173578,2,-0.534641666666179,-0.10897435897426014,declining,0.6450617283950617,middle
1430,defense,19.287253333333336,1311.533226666667,68,15,38,53,0.7794117647058824,1,19.80859333333333,0.796875,FALSE,0.521339999999995,0.01746323529411764,3,1.1167891666670793,0.06641445985711389,rising,0.627906976744186,middle
1431,NA,NA,NA,NA,NA,NA,NA,NA,1,19.80859333333333,0.796875,TRUE,NA,NA,3,1.3639391666668885,0.2647058823530089,rising,NA,NA
1432,defense,19.80859333333333,1267.7499733333332,64,10,41,51,0.796875,2,18.198908333333332,0.4774193548387097,TRUE,-1.609684999999999,-0.3194556451612903,2,-0.040341666666667185,0.28760848601740013,stable,0.7063953488372093,top
1433,defense,22.05857,1544.0999,70,11,31,42,0.6,1,14.339246666666666,0.3548387096774194,TRUE,-7.7193233333333335,-0.2451612903225806,2,0.2606699999999677,0.008731617647057802,stable,0.8738738738738738,top
1434,defense,23.594926666666666,542.6833133333333,23,2,12,14,0.6086956521739131,0,NA,NA,FALSE,NA,NA,3,-2.7346733333344306,-0.22101814516134755,declining,0.90625,top
1435,NA,NA,NA,NA,NA,NA,NA,NA,3,16.441076666666667,0.5835610200364298,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1436,forward,17.83083333333333,713.2333333333332,40,7,18,25,0.625,5,18.317341666666668,0.8149937600285256,FALSE,0.48650833333333665,0.18999376002852564,2,4.969993333328833,0.20765027322385549,rising,0.8362068965517241,top
1437,NA,NA,NA,NA,NA,NA,NA,NA,2,14.462097499999999,0.5412581699346405,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1438,NA,NA,NA,NA,NA,NA,NA,NA,1,12.653645,0.1875,TRUE,NA,NA,2,2.2941049999991328,0.054738562091482694,rising,NA,NA
1439,forward,12.653645,404.91664,32,2,4,6,0.1875,1,16.148633333333333,0.5245901639344263,TRUE,3.4949883333333336,0.33709016393442626,2,2.2941049999991328,0.054738562091482694,rising,0.4086206896551724,middle
1440,forward,16.148633333333333,985.0666333333332,61,15,17,32,0.5245901639344263,1,17.329463333333333,0.5357142857142857,FALSE,1.1808300000000003,0.011124121779859442,2,-1.4777524999994383,-0.19056372549012374,declining,0.7224137931034482,top
1441,NA,NA,NA,NA,NA,NA,NA,NA,3,15.398686111111111,0.5259103641456583,TRUE,NA,NA,2,3.494988333333854,0.337090163934476,rising,NA,NA
1442,NA,NA,NA,NA,NA,NA,NA,NA,2,12.737730833333332,0.0625,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1443,forward,16.61132333333333,1295.68322,78,20,24,44,0.5641025641025641,2,15.161186666666667,0.4634012107870116,FALSE,-1.4501366666666637,-0.10070135331555252,3,-1.7670075000002496,0.11842105263160786,declining,0.7706896551724138,top
1444,forward,14.532278333333332,1148.0499883333332,79,11,21,32,0.4050632911392405,2,14.034167499999999,0.4082606890826069,TRUE,-0.4981108333333335,0.0031973979433663757,2,-0.82122833333345,-0.04236343366778768,declining,0.6063829787234043,middle
