player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8475206,Stefan Elliott,stefan elliott,stefan elliott,Stefan,Elliott,stefan,elliott,stefan elliott
8475197,Tyson Barrie,tyson barrie,tyson barrie,Tyson,Barrie,tyson,barrie,tyson barrie
8475455,Brenden Dillon,brenden dillon,brenden dillon,Brenden,Dillon,brenden,dillon,brenden dillon
8474818,Jordie Benn,jordie benn,jordie benn,Jordie,Benn,jordie,benn,jordie benn
8475671,Matt Fraser,matt fraser,matt fraser,Matt,Fraser,matt,fraser,matt fraser
8475191,Reilly Smith,reilly smith,reilly smith,Reilly,Smith,reilly,smith,reilly smith
8476116,Ryan Garbutt,ryan garbutt,ryan garbutt,Ryan,Garbutt,ryan,garbutt,ryan garbutt
8475173,Scott Glennie,scott glennie,scott glennie,Scott,Glennie,scott,glennie,scott glennie
8474090,Brendan Smith,brendan smith,brendan smith,Brendan,Smith,brendan,smith,brendan smith
8474679,Gustav Nyquist,gustav nyquist,gustav nyquist,Gustav,Nyquist,gustav,nyquist,gustav nyquist
8474168,Joakim Andersson,joakim andersson,joakim andersson,Joakim,Andersson,joakim,andersson,joakim andersson
8475772,Riley Sheahan,riley sheahan,riley sheahan,Riley,Sheahan,riley,sheahan,riley sheahan
8475165,Anton Lander,anton lander,anton lander,Anton,Lander,anton,lander,anton lander
8474575,Colten Teubert,colten teubert,colten teubert,Colten,Teubert,colten,teubert,colten teubert
8471402,Lennart Petrell,lennart petrell,lennart petrell,Lennart,Petrell,lennart,petrell,lennart petrell
8474128,Milan Kytnar,milan kytnar,milan kytnar,Milan,Kytnar,milan,kytnar,milan kytnar
8474691,Philippe Cornet,philippe cornet,philippe cornet,Philippe,Cornet,philippe,cornet,philippe cornet
8476454,Ryan Nugent-Hopkins,ryan nugent-hopkins,ryan nugent-hopkins,Ryan,Nugent-Hopkins,ryan,nugent-hopkins,ryan nugent-hopkins
8471996,Bracken Kearns,bracken kearns,bracken kearns,Bracken,Kearns,bracken,kearns,bracken kearns
8471822,Brian Foster,brian foster,brian foster,Brian,Foster,brian,foster,brian foster
8474606,Colby Robak,colby robak,colby robak,Colby,Robak,colby,robak,colby robak
8475790,Erik Gudbranson,erik gudbranson,erik gudbranson,Erik,Gudbranson,erik,gudbranson,erik gudbranson
8473867,Greg Rallo,greg rallo,greg rallo,Greg,Rallo,greg,rallo,greg rallo
8470005,Mark Cullen,mark cullen,mark cullen,Mark,Cullen,mark,cullen,mark cullen
8475325,Jordan Nolan,jordan nolan,jordan nolan,Jordan,Nolan,jordan,nolan,jordan nolan
8474594,Slava Voynov,slava voynov,slava voynov,Slava,Voynov,slava,voynov,slava voynov
8475757,Brett Bulmer,brett bulmer,brett bulmer,Brett,Bulmer,brett,bulmer,brett bulmer
8471885,Chad Rau,chad rau,chad rau,Chad,Rau,chad,rau,chad rau
8476224,Chay Genoway,chay genoway,chay genoway,Chay,Genoway,chay,genoway,chay genoway
8473511,David McIntyre,david mcintyre,david mcintyre,David,McIntyre,david,mcintyre,david mcintyre
8475679,Jarod Palmer,jarod palmer,jarod palmer,Jarod,Palmer,jarod,palmer,jarod palmer
8475722,Jason Zucker,jason zucker,jason zucker,Jason,Zucker,jason,zucker,jason zucker
8468584,Jon Disalvatore,jon disalvatore,jon disalvatore,Jon,Disalvatore,jon,disalvatore,jon disalvatore
