player_id,player_name,match_status,position,signing_team,signing_team_abbr,previous_team,previous_team_abbr,contract_value,aav,contract_years,signing_year,season_start,season,signing_date,contract_type
8479249,Andrew Poturalski,exact,C,Seattle Kraken,SEA,Carolina Hurricanes,CAR,1525000,762500,2,2022,2022,20222023,2022-07-13,UFA
8478074,Anthony Angello,exact,C,St. Louis Blues,STL,Pittsburgh Penguins,PIT,750000,750000,1,2022,2022,20222023,2022-07-14,UFA
8478519,Anthony Cirelli,exact,"C, RW",Tampa Bay Lightning,TBL,Tampa Bay Lightning,TBL,50000000,6250000,8,2022,2022,20222023,2022-07-13,UFA
8478409,Anthony Richard,exact,"RW, LW, C",Montreal Canadiens,MTL,Nashville Predators,NSH,750000,750000,1,2022,2022,20222023,2022-07-13,other
8477320,Anton Blidh,exact,LW,Colorado Avalanche,COL,Boston Bruins,BOS,750000,750000,1,2022,2022,20222023,2022-08-03,UFA
NA,Antonio Stranges,unmatched,LW,Dallas Stars,DAL,NA,NA,2680000,893333,3,2022,2022,20222023,2022-03-01,RFA
NA,Anttoni Honka,unmatched,RD,Carolina Hurricanes,CAR,NA,NA,2525000,841667,3,2022,2022,20222023,2022-08-17,RFA
NA,Arshdeep Bains,unmatched,LW,Vancouver Canucks,VAN,NA,NA,2450000,816667,3,2022,2022,20222023,2022-03-11,other
8482245,Artem Zub,exact,RD,Ottawa Senators,OTT,Ottawa Senators,OTT,18400000,4600000,4,2022,2022,20222023,2022-12-21,UFA
8477476,Artturi Lehkonen,exact,"LW, RW",Colorado Avalanche,COL,Montréal Canadiens,MTL,22500000,4500000,5,2022,2022,20222023,2022-07-13,UFA
8480849,Barrett Hayton,exact,"C, LW",Arizona Coyotes,ARI,Arizona Coyotes,ARI,3550000,1775000,2,2022,2022,20222023,2022-09-20,other
8479359,Beck Malenstyn,exact,LW,Washington Capitals,WSH,Washington Capitals,WSH,1525000,762500,2,2022,2022,20222023,2022-06-20,other
8475279,Ben Chiarot,exact,"LD, RD",Detroit Red Wings,DET,Montréal Canadiens,MTL,19000000,4750000,4,2022,2022,20222023,2022-07-13,UFA
8479416,Ben Gleason,exact,LD,Dallas Stars,DAL,Dallas Stars,DAL,750000,750000,1,2022,2022,20222023,2022-07-29,other
8477433,Ben Harpur,exact,LD,New York Rangers,NYR,Nashville Predators,NSH,750000,750000,1,2022,2022,20222023,2022-10-27,UFA
8477018,Ben Hutton,exact,"LD, RD",Vegas Golden Knights,VGK,Vegas Golden Knights,VGK,1700000,850000,2,2022,2022,20222023,2022-03-05,UFA
8480259,Ben Jones,exact,C,Calgary Flames,CGY,Vegas Golden Knights,VGK,750000,750000,1,2022,2022,20222023,2022-07-16,other
8483570,Ben Meyers,exact,"LW, C",Colorado Avalanche,COL,Colorado Avalanche,COL,2062500,1031250,2,2022,2022,20222023,2022-04-13,other
NA,Bennett MacArthur,unmatched,LW,Tampa Bay Lightning,TBL,NA,NA,2775000,925000,3,2022,2022,20222023,2022-03-01,other
8482399,Billy Sweezey,exact,RD,Columbus Blue Jackets,CBJ,NA,NA,1525000,762500,2,2022,2022,20222023,2022-03-07,UFA
8481481,Blake Lizotte,exact,"LW, RW, C",Los Angeles Kings,LAK,Los Angeles Kings,LAK,3350000,1675000,2,2022,2022,20222023,2022-03-21,other
8481553,Bobby Brink,exact,RW,Philadelphia Flyers,PHI,Philadelphia Flyers,PHI,3412500,1137500,3,2022,2022,20222023,2022-04-10,other
8482259,Bobby McMann,exact,"LW, RW, C",Toronto Maple Leafs,TOR,NA,NA,1525000,762500,2,2022,2022,20222023,2022-04-29,UFA
NA,Bogdan Trineyev,unmatched,RW,Washington Capitals,WSH,NA,NA,2775000,925000,3,2022,2022,20222023,2022-05-03,RFA
